species,left_wing,right_wing,left_foretibia,right_foretibia,left_hindtibia,right_hindtibia,thorax,avg_left/right_wing,avg_left/right_foretibia,ratio-wing,ratiofore,ratio-thorax,,ratio-wing,ratiofore,ratio-thorax,,ratio-wing,ratiofore,ratio-thorax
Dmel,1.629,1.621,0.464,0.474,0.639,0.722,0.92,1.625,0.469,0.898769231,0.923240938,1.035869565,,1.018461538,1.018461538,1.105434783,,0.981846154,1.323027719,1.311956522
Dmel,1.366,1.365,0.418,0.442,0.568,0.559,0.787,1.3655,0.43,0.954961553,1.038372093,1.052096569,,1.212742585,1.212742585,1.320203304,,1.246796045,1.489534884,1.695044473
Dmel,1.61,1.625,0.508,0.484,0.7,0.713,0.948,1.6175,0.496,0.7561051,0.78125,0.837552743,,1.06553323,1.06553323,1.155063291,,1.023183926,1.286290323,1.359704641
Dmel,1.611,1.607,0.473,0.5,0.674,0.706,0.984,1.609,0.4865,0.884089497,0.94655704,0.931910569,,0.985083903,0.985083903,1.017276423,,1.078620261,1.379239466,1.367886179
Dmel,1.738,1.708,0.532,0.538,0.765,0.742,0.985,1.723,0.535,0.83081834,0.88411215,0.995939086,,1.001160766,1.001160766,1.065989848,,1.008415554,1.246728972,1.344162437
Dmel,1.613,1.615,0.509,0.507,0.732,0.71,0.973,1.614,0.508,0.898079306,0.958661417,0.970195272,,1.052664188,1.052664188,1.118191161,,1.053593556,1.308070866,1.345323741
Dmel,1.72,1.738,0.524,0.539,0.769,0.773,0.979,1.729,0.5315,0.768074031,0.798682973,0.833503575,,0.943609023,0.943609023,1.096016343,,0.943609023,1.186265287,1.291113381
Dmel,1.616,1.618,0.475,0.503,0.71,0.677,0.936,1.617,0.489,0.775200989,0.857873211,0.816239316,,0.995361781,0.995361781,1.080128205,,0.993815708,1.307770961,1.335470085
Dmel,1.448,1.442,0.431,0.484,0.639,0.644,0.845,1.445,0.4575,0.84532872,0.801092896,0.89112426,,1.138754325,1.138754325,1.179881657,,1.275778547,1.506010929,1.695857988
Dmel,1.602,1.569,0.487,0.473,0.699,0.684,0.907,1.5855,0.48,0.831914223,0.878125,0.922822492,,1.063386944,1.063386944,1.18522602,,1.028697572,1.332291667,1.421168688
Dmel,1.492,1.49,0.483,0.484,0.681,0.685,0.866,1.491,0.4835,0.911133467,0.877973113,1.01039261,,1.147887324,1.147887324,1.233256351,,1.176391683,1.411582213,1.650115473
Dmel,1.661,1.649,0.518,0.524,0.721,0.707,0.965,1.655,0.521,0.841389728,0.881957774,0.956476684,,0.946827795,0.946827795,1.03626943,,1.012386707,1.243761996,1.378238342
Dmel,1.585,1.597,0.498,0.483,0.724,0.693,0.891,1.591,0.4905,0.890634821,0.902140673,1.023569024,,1.001885607,1.001885607,1.112233446,,0.980201131,1.181447503,1.301907969
Dmel,1.566,1.556,0.476,0.47,0.666,0.654,0.891,1.561,0.473,0.830557335,0.894291755,0.914702581,,1.050288277,1.050288277,1.18630752,,1.067584881,1.324524313,1.480359147
Dmel,1.583,1.574,0.514,0.509,0.72,0.693,0.909,1.5785,0.5115,0.933797909,0.889540567,1.069306931,,1.081723155,1.081723155,1.187018702,,0.929046563,1.130987292,1.243124312
Dmel,1.603,1.645,0.505,0.496,0.716,0.507,0.971,1.624,0.5005,0.747536946,0.793206793,0.781668383,,1.05387931,1.05387931,1.13800206,,0.915640394,1.134865135,1.10607621
Dmel,1.574,1.579,0.501,0.492,0.692,0.691,0.879,1.5765,0.4965,0.947668887,0.933534743,1.118316268,,1.080875357,1.080875357,1.252559727,,0.992388202,1.210473313,1.453924915
Dmel,1.68,1.687,0.518,0.542,0.726,0.713,0.993,1.6835,0.53,0.833976834,0.86509434,0.858006042,,0.991386991,0.991386991,1.059415911,,0.962280962,1.2,1.263846928
Dmel,1.588,1.583,0.478,0.504,0.683,0.689,0.985,1.5855,0.491,0.6859035,0.754582485,0.678172589,,1.10217597,1.10217597,1.129949239,,1.000315358,1.269857434,1.294416244
Dmel,1.622,1.629,0.493,0.507,0.725,0.7,0.954,1.6255,0.5,0.901876346,0.91,0.988469602,,1.067979083,1.067979083,1.124737945,,1.026760997,1.285,1.371069182
Dmel,1.661,1.666,0.492,0.501,0.716,0.688,0.95,1.6635,0.4965,0.74241058,0.787512588,0.824210526,,1.03035768,1.03035768,1.123157895,,0.93898407,1.166163142,1.256842105
Dmel,1.714,1.723,0.509,0.539,0.752,0.728,1.011,1.7185,0.524,0.819610125,0.851145038,0.934718101,,1.023858016,1.023858016,1.055390702,,0.967122491,1.164122137,1.25024728
Dmel,1.606,1.605,0.509,0.513,0.717,0.717,0.919,1.6055,0.511,0.691373404,0.715264188,0.732317737,,1.06353161,1.06353161,1.118607182,,0.97134849,1.221135029,1.312295974
Dmel,1.583,1.587,0.474,0.514,0.697,0.711,0.911,1.585,0.494,0.808832808,0.785425101,0.911086718,,1.084227129,1.084227129,1.203073546,,1.065299685,1.343117409,1.499451153
Dmel,1.624,1.633,0.499,0.509,0.706,0.747,0.977,1.6285,0.504,0.849247774,0.806547619,0.884339816,,1.05465152,1.05465152,1.12691914,,0.997850783,1.235119048,1.256908905
Dmel,1.638,1.654,0.485,0.506,0.712,0.703,0.946,1.646,0.4955,0.870291616,0.916246216,0.996828753,,1.045565006,1.045565006,1.173361522,,1.060753341,1.396569122,1.385835095
Dmel,1.594,1.593,0.514,0.489,0.652,0.647,0.853,1.5935,0.5015,0.839033574,0.876370887,0.981242673,,1.070285535,1.070285535,1.201641266,,1.005020395,1.250249252,1.473622509
Dmel,1.622,1.615,0.481,0.51,0.687,0.722,0.887,1.6185,0.4955,0.887550201,0.93037336,1.093573844,,1.030892802,1.030892802,1.163472379,,1.096076614,1.386478305,1.541149944
Dmel,1.618,1.587,0.5,0.49,0.71,0.683,0.927,1.6025,0.495,0.899219969,0.886868687,1.024811219,,1.066146646,1.066146646,1.155339806,,1.03775351,1.315151515,1.433656958
Dmel,1.697,1.684,0.525,0.525,0.762,0.758,1.002,1.6905,0.525,0.823720793,0.923809524,0.906187625,,0.999112689,0.999112689,1.017964072,,0.942028986,1.19047619,1.223552894
Dmel,1.542,1.534,0.493,0.473,0.698,0.67,0.914,1.538,0.483,0.934330299,0.985507246,1.014223195,,1.141092328,1.141092328,1.248358862,,1.043888166,1.314699793,1.363238512
Dmel,1.666,1.68,0.537,0.524,0.727,0.739,0.989,1.673,0.5305,0.872086073,0.885956645,0.921132457,,1.04781829,1.04781829,1.11223458,,1.095636581,1.340245052,1.480283114
Dmel,1.684,1.675,0.528,0.512,0.749,0.751,0.992,1.6795,0.52,0.863649896,0.899038462,0.959677419,,1.011312891,1.011312891,1.059475806,,1.009824352,1.283653846,1.339717742
Dmel,1.616,1.622,0.517,0.516,0.715,0.713,0.932,1.619,0.5165,0.786596665,0.796708616,0.930257511,,1.026868437,1.026868437,1.145922747,,1.086781964,1.333010649,1.49248927
Dmel,1.661,1.661,0.529,0.529,0.742,0.758,0.922,1.661,0.529,0.839554485,0.848771267,0.977223427,,1.008428657,1.008428657,1.168112798,,0.919024684,1.129489603,1.321041215
Dmel,1.483,1.481,0.47,0.466,0.676,0.67,0.864,1.482,0.468,0.842442645,0.868589744,0.891203704,,1.076585695,1.076585695,1.396990741,,,,
Dsim,1.457,1.464,0.438,0.428,0.633,0.626,0.953,1.4605,0.433,,,,,,,,,,,
Dsim,1.319,1.289,0.428,0.465,0.605,0.6,0.828,1.304,0.4465,,,,,,,,,,,
Dsim,1.227,1.219,0.379,0.396,0.552,0.531,0.794,1.223,0.3875,,,,,,,,,,,
Dsim,1.424,1.421,0.459,0.462,0.646,0.641,0.917,1.4225,0.4605,,,,,,,,,,,
Dsim,1.436,1.427,0.453,0.493,0.655,0.644,0.981,1.4315,0.473,,,,,,,,,,,
