specie,sex,wing_1,wing_2,tibia_1,tibia_2,wing,tibia
Dmel,female,1.442,1.442,0.4361,0.4176,1.442,0.42685
Dmel,female,1.568,1.574,0.4818,0.4955,1.571,0.48865
Dmel,female,1.586,1.583,0.4976,0.5015,1.5845,0.49955
Dmel,female,1.503,1.502,0.4543,0.4576,1.5025,0.45595
Dmel,female,1.411,1.42,0.4335,0.4338,1.4155,0.43365
Dmel,female,1.554,1.564,0.4698,0.4869,1.559,0.47835
Dmel,female,1.6,1.61,0.4993,0.4928,1.605,0.49605
Dmel,female,1.523,1.532,0.4761,0.4627,1.5275,0.4694
Dmel,female,1.442,1.423,0.4392,0.4271,1.4325,0.43315
Dmel,female,1.46,1.473,0.4636,0.4612,1.4665,0.4624
Dmel,female,1.54,1.553,0.489,0.4627,1.5465,0.47585
Dmel,female,1.539,1.515,0.4792,0.4815,1.527,0.48035
Dmel,female,1.5523,1.546,0.4894,0.4773,1.54915,0.48335
Dmel,female,1.575,1.572,0.4839,0.4914,1.5735,0.48765
Dmel,female,1.6,1.582,0.5036,0.4959,1.591,0.49975
Dmel,female,1.522,1.516,0.463,0.4729,1.519,0.46795
Dmel,female,1.563,1.562,0.4843,0.4887,1.5625,0.4865
Dmel,female,1.577,1.6,0.485,0.4897,1.5885,0.48735
Dmel,female,1.547,1.548,0.4584,0.4792,1.5475,0.4688
Dmel,female,1.431,1.443,0.4351,0.4475,1.437,0.4413
Dmel,female,1.228,1.238,0.39,0.396,1.233,0.393
Dmel,female,1.147,1.157,0.364,0.367,1.152,0.3655
Dmel,female,1.454,1.443,0.465,0.456,1.4485,0.4605
Dmel,female,1.351,1.341,0.431,0.434,1.346,0.4325
Dmel,female,1.486,1.501,0.484,0.491,1.4935,0.4875
Dmel,female,1.414,1.506,0.468,0.448,1.46,0.458
Dmel,female,1.467,1.463,0.475,0.485,1.465,0.48
Dmel,female,1.384,1.375,0.438,0.446,1.3795,0.442
Dmel,female,1.277,1.311,0.425,0.41,1.294,0.4175
Dmel,female,1.475,1.469,0.499,0.46,1.472,0.4795
Dmel,female,1.428,1.417,0.475,0.447,1.4225,0.461
Dmel,female,1.331,1.318,0.426,0.432,1.3245,0.429
Dmel,female,1.451,1.445,0.471,0.445,1.448,0.458
Dmel,female,1.471,1.455,0.469,0.457,1.463,0.463
Dmel,female,1.349,1.342,0.432,0.448,1.3455,0.44
Dmel,female,1.41,1.422,0.462,0.456,1.416,0.459
Dmel,female,1.195,1.226,0.392,0.397,1.2105,0.3945
Dmel,female,1.514,1.492,0.468,0.48,1.503,0.474
Dmel,female,1.491,1.489,0.473,0.46,1.49,0.4665
Dmel,female,1.449,1.386,0.476,0.467,1.4175,0.4715
Dmel,female,1.268,1.278,0.401,0.41,1.273,0.4055
Dmel,female,1.459,1.468,0.468,0.443,1.4635,0.4555
Dmel,female,1.491,1.468,0.486,0.491,1.4795,0.4885
Dmel,female,1.46,1.472,0.471,0.477,1.466,0.474
Dmel,female,1.499,1.506,0.481,0.481,1.5025,0.481
Dmel,female,1.37,1.389,0.461,0.45,1.3795,0.4555
Dmel,female,1.223,1.251,0.387,0.394,1.237,0.3905
Dmel,female,1.283,1.296,0.417,0.436,1.2895,0.4265
Dmel,female,1.413,1.428,0.454,0.488,1.4205,0.471
Dmel,female,1.351,1.474,0.462,0.491,1.4125,0.4765
Dmel,female,1.434,1.44,0.456,0.458,1.437,0.457
Dmel,female,1.464,1.457,0.471,0.462,1.4605,0.4665
Dmel,female,1.446,1.451,0.45,0.459,1.4485,0.4545
Dmel,female,1.453,1.434,0.47,0.477,1.4435,0.4735
Dmel,female,1.445,1.466,0.458,0.459,1.4555,0.4585
Dmel,female,1.35,1.352,0.456,0.434,1.351,0.445
Dmel,female,1.227,1.218,0.435,0.417,1.2225,0.426
Dmel,female,1.265,1.262,0.433,0.372,1.2635,0.4025
Dmel,female,1.458,1.447,0.445,0.464,1.4525,0.4545
Dmel,female,1.411,1.39,0.468,0.46,1.4005,0.464
Dmel,female,1.496,1.459,0.469,0.471,1.4775,0.47
Dmel,female,1.502,1.456,0.488,0.478,1.479,0.483
Dmel,female,1.476,1.458,0.473,0.472,1.467,0.4725
Dmel,female,1.344,1.356,0.427,0.443,1.35,0.435
Dmel,female,1.454,1.463,0.48,0.468,1.4585,0.474
Dmel,female,1.228,1.238,0.39,0.381,1.233,0.3855
Dmel,female,1.461,1.468,0.479,0.467,1.4645,0.473
Dmel,female,1.212,1.2,0.388,0.388,1.206,0.388
Dmel,female,1.245,1.221,0.408,0.41,1.233,0.409
Dmel,female,1.373,1.388,0.444,0.452,1.3805,0.448
Dmel,female,1.282,1.293,0.431,0.408,1.2875,0.4195
Dmel,female,1.433,1.449,0.457,0.483,1.441,0.47
Dmel,female,1.27,1.295,0.425,0.415,1.2825,0.42
Dmel,female,1.438,1.463,0.474,0.434,1.4505,0.454
Dmel,female,1.42,1.447,0.46,0.451,1.4335,0.4555
Dmel,female,1.311,1.31,0.447,0.439,1.3105,0.443
Dmel,female,1.454,1.443,0.432,0.471,1.4485,0.4515
Dmel,female,1.484,1.486,0.487,0.484,1.485,0.4855
Dmel,female,1.218,1.213,0.359,0.381,1.2155,0.37
Dmel,female,1.457,1.455,0.461,0.472,1.456,0.4665
Dmel,female,1.385,1.373,0.442,0.442,1.379,0.442
Dmel,female,1.481,1.479,0.466,0.425,1.48,0.4455
Dmel,female,1.451,1.446,0.453,0.47,1.4485,0.4615
Dmel,female,1.353,1.341,0.416,0.412,1.347,0.414
Dmel,female,1.478,1.471,0.462,0.486,1.4745,0.474
Dmel,female,1.339,1.346,0.442,0.437,1.3425,0.4395
Dmel,female,1.412,1.409,0.439,0.455,1.4105,0.447
Dmel,female,1.433,1.421,0.453,0.457,1.427,0.455
Dmel,female,1.423,1.433,0.452,0.466,1.428,0.459
Dmel,female,1.42,1.417,0.472,0.454,1.4185,0.463
Dmel,female,1.437,1.421,0.448,0.447,1.429,0.4475
Dmel,female,1.429,1.418,0.472,0.45,1.4235,0.461
Dmel,female,1.478,1.495,0.484,0.469,1.4865,0.4765
Dmel,female,1.449,1.431,0.476,0.458,1.44,0.467
Dmel,female,1.472,1.444,0.475,0.445,1.458,0.46
Dmel,female,1.422,1.425,0.465,0.473,1.4235,0.469
Dmel,female,1.433,1.416,0.482,0.47,1.4245,0.476
Dmel,female,1.361,1.378,0.459,0.424,1.3695,0.4415
Dmel,female,1.424,1.436,0.464,0.455,1.43,0.4595
Dmel,female,1.422,1.402,0.443,0.437,1.412,0.44
Dmel,female,1.421,1.418,0.435,0.461,1.4195,0.448
Dmel,female,1.428,1.404,0.453,0.442,1.416,0.4475
Dmel,female,1.163,1.182,0.376,0.346,1.1725,0.361
Dmel,female,1.399,1.403,0.457,0.419,1.401,0.438
Dmel,female,1.36,1.364,0.436,0.45,1.362,0.443
Dmel,female,1.467,1.489,0.482,0.472,1.478,0.477
Dmel,female,1.445,1.428,0.476,0.475,1.4365,0.4755
Dmel,female,1.442,1.448,0.466,0.452,1.445,0.459
Dmel,female,1.477,1.485,0.486,0.481,1.481,0.4835
Dmel,female,1.431,1.419,0.462,0.452,1.425,0.457
Dmel,female,1.425,1.407,0.432,0.447,1.416,0.4395
Dmel,female,1.485,1.486,0.491,0.44,1.4855,0.4655
Dmel,female,1.461,1.478,0.475,0.47,1.4695,0.4725
Dmel,female,1.453,1.453,0.483,0.464,1.453,0.4735
Dmel,female,1.456,1.467,0.475,0.45,1.4615,0.4625
Dmel,female,1.486,1.493,0.463,0.466,1.4895,0.4645
Dmel,female,1.468,1.446,0.451,0.455,1.457,0.453
Dmel,female,1.462,1.449,0.468,0.456,1.4555,0.462
Dmel,female,1.493,1.49,0.495,0.473,1.4915,0.484
Dmel,female,1.437,1.411,0.47,0.476,1.424,0.473
Dmel,female,1.447,1.452,0.477,0.465,1.4495,0.471
Dmel,female,1.355,1.353,0.45,0.451,1.354,0.4505
Dmel,female,1.454,1.437,0.473,0.475,1.4455,0.474
Dmel,female,1.407,1.401,0.473,0.459,1.404,0.466
Dmel,female,1.482,1.493,0.492,0.46,1.4875,0.476
Dmel,female,1.401,1.454,0.481,0.465,1.4275,0.473
Dmel,female,1.393,1.371,0.433,0.449,1.382,0.441
Dmel,female,1.428,1.421,0.471,0.451,1.4245,0.461
Dmel,female,1.455,1.438,0.452,0.465,1.4465,0.4585
Dmel,female,1.522,1.525,0.498,0.487,1.5235,0.4925
Dmel,female,1.332,1.345,0.441,0.444,1.3385,0.4425
Dmel,female,1.434,1.443,0.459,0.477,1.4385,0.468
Dmel,female,1.365,1.37,0.465,0.476,1.3675,0.4705
Dmel,female,1.414,1.41,0.471,0.47,1.412,0.4705
Dmel,female,1.366,1.363,0.431,0.462,1.3645,0.4465
Dmel,female,1.335,1.288,0.436,0.429,1.3115,0.4325
Dmel,female,1.384,1.392,0.446,0.453,1.388,0.4495
Dmel,female,1.398,1.383,0.463,0.455,1.3905,0.459
Dmel,female,1.278,1.286,0.405,0.397,1.282,0.401
Dmel,female,1.38,1.39,0.471,0.449,1.385,0.46
Dmel,female,1.456,1.434,0.447,0.413,1.445,0.43
Dmel,female,1.294,1.298,0.429,0.414,1.296,0.4215
Dmel,female,1.43,1.445,0.483,0.476,1.4375,0.4795
Dmel,female,1.368,1.365,0.45,0.444,1.3665,0.447
Dmel,female,1.437,1.437,0.466,0.47,1.437,0.468
Dmel,female,1.509,1.481,0.485,0.487,1.495,0.486
Dmel,female,1.429,1.436,0.474,0.478,1.4325,0.476
Dmel,female,1.459,1.453,0.481,0.487,1.456,0.484
Dmel,female,1.343,1.353,0.445,0.456,1.348,0.4505
Dmel,female,1.439,1.432,0.465,0.465,1.4355,0.465
Dmel,female,1.486,1.493,0.476,0.471,1.4895,0.4735
Dmel,female,1.443,1.454,0.463,0.458,1.4485,0.4605
Dmel,female,1.416,1.413,0.478,0.476,1.4145,0.477
Dmel,female,1.337,1.367,0.44,0.442,1.352,0.441
Dmel,female,1.419,1.434,0.459,0.458,1.4265,0.4585
Dmel,female,1.408,1.393,0.446,0.457,1.4005,0.4515
Dmel,female,1.334,1.337,0.423,0.388,1.3355,0.4055
Dmel,female,1.502,1.502,0.487,0.479,1.502,0.483
Dmel,female,1.448,1.459,0.491,0.467,1.4535,0.479
Dmel,female,1.365,1.366,0.437,0.433,1.3655,0.435
Dmel,female,1.46,1.445,0.462,0.465,1.4525,0.4635
Dmel,female,1.406,1.402,0.449,0.467,1.404,0.458
