species,left_wing,right_wing,left_foretibia,right_foretibia,left_hindtibia,right_hindtibia,thorax,avg_left/right_wing,avg_left/right_foretibia,,ratiowing,ratioforetibia,ratiothorax,,ratiowing,ratioforetibia,ratiothorax,,ratiowing,ratioforetibia,ratiothorax
Dmel,1.351,1.346,0.46,0.434,0.618,0.613,0.732,1.3485,0.447,,0.841675936,0.836689038,0.93442623,,1.028179459,1.053691275,1.196721311,,1.033370412,1.242729306,1.483606557
Dmel,1.403,1.382,0.435,0.475,0.649,0.617,0.8,1.3925,0.455,,0.78491921,0.791208791,0.82125,,1.096947935,1.147252747,1.21875,,1.12459605,1.374725275,1.55375
Dmel,1.38,1.397,0.445,0.475,0.637,0.62,0.787,1.3885,0.46,,0.825351098,0.861956522,0.926302414,,1.055455528,1.119565217,1.171537484,,1.182931221,1.415217391,1.653113088
Dmel,1.437,1.432,0.497,0.481,0.632,0.673,0.792,1.4345,0.489,,0.785639596,0.785276074,0.857323232,,1.002788428,1.015337423,1.203282828,,1.136981527,1.323108384,1.642676768
Dmel,1.427,1.425,0.467,0.482,0.647,0.645,0.83,1.426,0.4745,,0.77769986,0.785036881,0.822891566,,1.055750351,1.092729189,1.103614458,,1.054698457,1.225500527,1.496385542
Dmel,1.449,1.458,0.471,0.492,0.657,0.652,0.813,1.4535,0.4815,,0.701410389,0.734164071,0.761377614,,1.03371173,1.096573209,1.185731857,,1.030271758,1.301142264,1.5399754
Dmel,1.358,1.365,0.428,0.449,0.629,0.618,0.781,1.3615,0.4385,,0.783694455,0.810718358,0.819462228,,1.138817481,1.217787913,1.224071703,,1.154241645,1.437856328,1.590268886
Dmel,1.433,1.457,0.449,0.461,0.673,0.637,0.82,1.445,0.455,,0.758823529,0.82967033,0.819512195,,1.077854671,1.183516484,1.152439024,,1.027681661,1.351648352,1.46097561
Dmel,1.416,1.41,0.465,0.465,0.633,0.657,0.792,1.413,0.465,,0.898443029,0.931182796,1.005050505,,1.063694268,1.129032258,1.227272727,,1.130927105,1.304301075,1.579545455
Dmel,1.401,1.421,0.456,0.486,0.642,0.644,0.83,1.411,0.471,,0.839475549,0.841825902,0.865060241,,0.999645641,1.011677282,1.01686747,,1.063430191,1.300424628,1.41686747
