specie,sex,wing_1,wing_2,tibia_1,tibia_2,mean_wing,mean_tibia,evolution,ratio_lw_lt,ratio_rw_rt,,,,log_tibia,log_wing
Dmel,female,1.442,1.442,0.4361,0.4176,1.442,0.42685,A,3.306581059,3.453065134,,,,-0.369724714,0.15896526
Dmel,female,1.568,1.574,0.4818,0.4955,1.571,0.48865,A,3.254462433,3.176589304,,,,-0.311002097,0.196176185
Dmel,female,1.586,1.583,0.4976,0.5015,1.5845,0.49955,A,3.187299035,3.156530409,,,,-0.301421037,0.199892244
Dmel,female,1.503,1.502,0.4543,0.4576,1.5025,0.45595,A,3.308386529,3.282342657,,,,-0.34108278,0.176814481
Dmel,female,1.411,1.42,0.4335,0.4338,1.4155,0.43365,A,3.254901961,3.273397879,,,,-0.362860649,0.150909874
Dmel,female,1.554,1.564,0.4698,0.4869,1.559,0.47835,A,3.307790549,3.212158554,,,,-0.320254222,0.192846115
Dmel,female,1.6,1.61,0.4993,0.4928,1.605,0.49605,A,3.204486281,3.267045455,,,,-0.304474546,0.205475037
Dmel,female,1.523,1.532,0.4761,0.4627,1.5275,0.4694,A,3.198907792,3.311000648,,,,-0.328456915,0.183981219
Dmel,female,1.442,1.423,0.4392,0.4271,1.4325,0.43315,A,3.283242259,3.331772419,,,,-0.363361681,0.156094631
Dmel,female,1.46,1.473,0.4636,0.4612,1.4665,0.4624,A,3.149266609,3.193842151,,,,-0.334982175,0.166282067
Dmel,female,1.54,1.553,0.489,0.4627,1.5465,0.47585,A,3.149284254,3.356386427,,,,-0.322529926,0.189349924
Dmel,female,1.539,1.515,0.4792,0.4815,1.527,0.48035,A,3.211602671,3.146417445,,,,-0.318442205,0.183839037
Dmel,female,1.5523,1.546,0.4894,0.4773,1.54915,0.48335,A,3.171843073,3.239053006,,,,-0.315738277,0.190093471
Dmel,female,1.575,1.572,0.4839,0.4914,1.5735,0.48765,A,3.254804712,3.199023199,,,,-0.311891771,0.196866747
Dmel,female,1.6,1.582,0.5036,0.4959,1.591,0.49975,A,3.177124702,3.190159306,,,,-0.301247197,0.20167018
Dmel,female,1.522,1.516,0.463,0.4729,1.519,0.46795,A,3.287257019,3.205751745,,,,-0.329800548,0.181557774
Dmel,female,1.563,1.562,0.4843,0.4887,1.5625,0.4865,A,3.227338427,3.196234909,,,,-0.312917155,0.193820026
Dmel,female,1.577,1.6,0.485,0.4897,1.5885,0.48735,A,3.251546392,3.267306514,,,,-0.31215903,0.200987219
Dmel,female,1.547,1.548,0.4584,0.4792,1.5475,0.4688,A,3.37478185,3.230383973,,,,-0.329012397,0.189630658
Dmel,female,1.431,1.443,0.4351,0.4475,1.437,0.4413,A,3.288899104,3.224581006,,,,-0.355266073,0.157456768
Dmel,female,1.228,1.238,0.39,0.396,1.233,0.393,A,3.148717949,3.126262626,,,,-0.40560745,0.090963077
Dmel,female,1.147,1.157,0.364,0.367,1.152,0.3655,A,3.151098901,3.152588556,,,,-0.437112619,0.061452479
Dmel,female,1.454,1.443,0.465,0.456,1.4485,0.4605,A,3.12688172,3.164473684,,,,-0.336770365,0.1609185
Dmel,female,1.351,1.341,0.431,0.434,1.346,0.4325,A,3.134570766,3.089861751,,,,-0.364013888,0.12904506
Dmel,female,1.486,1.501,0.484,0.491,1.4935,0.4875,A,3.070247934,3.057026477,,,,-0.31202538,0.174205227
