specie,sex,wing_1,wing_2,tibia_1,tibia_2,mean_wing,mean_tibia,evolution,ratio_lw_lt,ratio_rw_rt,,log_tibia,log_wing
Dmel,male,1.262,1.263,0.3977,0.4206,1.2625,0.40915,A,3.173246165,3.002853067,,-0.388117444,0.101231387
Dmel,male,1.279,1.262,0.4261,0.4168,1.2705,0.42145,A,3.001642807,3.027831094,,-0.375253942,0.103974669
Dmel,male,1.323,1.323,0.4311,0.4469,1.323,0.439,A,3.068893528,2.960393824,,-0.35753548,0.121559844
Dmel,male,1.302,1.291,0.4298,0.3932,1.2965,0.4115,A,3.029315961,3.283316378,,-0.38563016,0.112772521
Dmel,male,1.292,1.299,0.4266,0.431,1.2955,0.4288,A,3.028598218,3.013921114,,-0.367745223,0.112437417
Dmel,male,1.37,1.394,0.593,0.4595,1.382,0.52625,A,2.310286678,3.033732318,,-0.278807891,0.140508043
Dmel,male,1.357,1.351,0.4666,0.4355,1.354,0.45105,A,2.90827261,3.102181401,,-0.345775313,0.131618664
Dmel,male,1.375,1.375,0.4406,0.4644,1.375,0.4525,A,3.120744439,2.960809647,,-0.344381416,0.138302698
Dmel,male,1.369,1.352,0.4662,0.4609,1.3605,0.46355,A,2.936507937,2.933391191,,-0.333903415,0.133698546
Dmel,male,1.38,1.38,0.4378,0.4803,1.38,0.45905,A,3.152124258,2.873204247,,-0.338140008,0.139879086
Dmel,male,1.337,1.33,0.4457,0.4412,1.3335,0.44345,A,2.999775634,3.014505893,,-0.353155341,0.12499302
Dmel,male,1.375,1.345,0.434,0.4568,1.36,0.4454,A,3.168202765,2.944395797,,-0.351249787,0.133538908
Dmel,male,1.33,1.362,0.4339,0.4446,1.346,0.43925,A,3.065222401,3.0634278,,-0.35728823,0.12904506
Dmel,male,1.322,1.335,0.423,0.4142,1.3285,0.4186,A,3.125295508,3.223080637,,-0.378200776,0.123361559
Dmel,male,1.329,1.336,0.447,0.4669,1.3325,0.45695,A,2.973154362,2.86142643,,-0.340131318,0.124667218
Dmel,male,1.185,1.192,0.418,0.409,1.1885,0.4135,A,2.83492823,2.914425428,,-0.383524486,0.074999186
Dmel,male,1.258,1.266,0.451,0.43,1.262,0.4405,A,2.789356984,2.944186047,,-0.356054087,0.101059355
Dmel,male,1.173,1.191,0.409,0.419,1.182,0.414,A,2.86797066,2.8424821,,-0.382999659,0.072617477
Dmel,male,1.123,1.095,0.394,0.402,1.109,0.398,A,2.850253807,2.723880597,,-0.400116928,0.044931546
Dmel,male,1.271,1.27,0.427,0.452,1.2705,0.4395,A,2.976580796,2.809734513,,-0.357041121,0.103974669
Dmel,male,1.248,1.232,0.432,0.409,1.24,0.4205,A,2.888888889,3.012224939,,-0.376234,0.093421685
Dmel,male,1.273,1.272,0.444,0.439,1.2725,0.4415,A,2.867117117,2.897494305,,-0.355069292,0.104657791
Dmel,male,1.235,1.215,0.431,0.435,1.225,0.433,A,2.865429234,2.793103448,,-0.363512104,0.088136089
Dmel,male,1.123,1.128,0.379,0.36,1.1255,0.3695,A,2.963060686,3.133333333,,-0.432385557,0.051345499
Dmel,male,1.296,1.293,0.456,0.449,1.2945,0.4525,A,2.842105263,2.879732739,,-0.344381416,0.112102055
Dmel,male,1.247,1.253,0.433,0.442,1.25,0.4375,A,2.879907621,2.834841629,,-0.359021943,0.096910013
